0.10009766, -1.22952342, -1.37280250, 1.64454091, 2.46800447, 1.21279931, 2.15981269,
0.20117188, -1.13152349, 2.05719757, -3.05945897, -1.64799559, 1.40879941, -3.42618728,
0.30126953, 1.02447653, 1.07719743, -1.39345884, -1.94199562, 2.19279933, -2.44618726,
0.40332031, -1.52352345, 3.33119726, 2.23254085, -2.03999567, 2.19279933, -1.95618725,
0.50341797, 2.39647627, -1.17680252, 3.01654100, 1.09600425, -1.23720050, 2.55181265,
0.60400391, 1.02447653, 1.27319729, -2.07945895, -2.23599553, 1.50679934, -2.05418730,
0.70410156, -2.20952344, 2.35119724, -2.86345887, -1.25599563, 1.50679934, 2.06181264,
0.80419922, -1.03352344, 1.07719743, -2.56945896, 1.48800445, 2.09479928, -2.15218735,
0.90429688, 2.00447631, 1.95919740, -1.29545903, 1.48800445, -1.04120064, 1.08181262,
1.00439453, -2.01352358, 1.46919739, 2.23254085, -2.13799548, 1.11479938, -2.44618726,
1.10449219, -1.13152349, 2.74319744, -1.29545903, -1.25599563, 1.01679933, -3.13218737,
1.20458984, -1.71952343, 1.07719743, 2.23254085, -1.64799559, -2.11920047, 2.25781250,
1.30468750, 2.10247636, 1.37119734, -2.27545881, 1.09600425, -1.33520055, 1.08181262,
1.40478516, -2.30752349, 2.35119724, 2.13454080, 2.17400432, 1.21279931, 2.06181264,
1.50488281, -1.42552340, 2.15519714, -2.07945895, -1.64799559, -1.13920069, -1.17218733,
1.60498047, -1.13152349, 1.76319730, -2.27545881, 2.07600427, -2.21720052, -2.54418731,
1.70507812, -2.30752349, 2.05719757, 3.01654100, 1.48800445, -1.23720050, 2.74781251,
1.80517578, -1.22952342, -1.47080255, 2.03654099, 1.09600425, 1.21279931, 1.96381259,
1.90527344, 2.59247637, 2.35119724, -2.17745900, -1.05999565, 1.31079936, -3.42618728,
2.00537109, -1.13152349, -1.27480257, 2.23254085, -2.43199563, -1.04120064, -1.07418728,
